Date,Open,High,Low,Close,Volume
04/18/2024,"151.25","152.20","148.70","149.93","96,098,828"
04/17/2024,"157.64","158.33","153.78","155.45","82,439,719"
04/16/2024,"156.74","158.19","153.75","157.11","96,999,961"
04/15/2024,"170.24","170.69","161.38","161.48","100,245,297"
04/12/2024,"172.34","173.81","170.36","171.05","64,722,672"
04/11/2024,"172.55","175.88","168.51","174.60","94,515,992"
04/10/2024,"173.04","174.93","170.01","171.76","84,532,406"
04/09/2024,"172.91","179.22","171.92","176.88","103,232,703"
04/08/2024,"169.34","174.50","167.79","172.98","104,423,297"
04/05/2024,"169.08","170.86","160.51","164.90","143,157,594"
04/04/2024,"170.07","177.19","168.01","171.11","123,162,000"
04/03/2024,"164.02","168.82","163.28","168.38","82,950,141"
04/02/2024,"164.75","167.69","163.43","166.63","116,650,602"
04/01/2024,"176.17","176.75","170.21","175.22","81,562,125"
03/28/2024,"177.45","179.57","175.30","175.79","77,654,844"
03/27/2024,"181.41","181.91","176.00","179.83","81,804,039"
03/26/2024,"178.58","184.25","177.38","177.67","113,186,203"
03/25/2024,"168.76","175.24","168.73","172.63","74,228,625"
03/22/2024,"166.69","171.20","166.30","170.83","75,580,641"
03/21/2024,"176.39","178.18","171.80","172.82","73,178,008"
03/20/2024,"173.00","176.25","170.82","175.66","83,846,727"
03/19/2024,"172.36","172.82","167.42","171.32","77,271,430"
