# time,x,y,theta,speed,dtheta,range_0,range_1,range_2,range_3,range_4,range_5,range_6,range_7,range_8,range_9,range_10,range_11,bearing_0,bearing_1,bearing_2,bearing_3,bearing_4,bearing_5,bearing_6,bearing_7,bearing_8,bearing_9,bearing_10,bearing_11
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.414213562373095145e+00,1.414213562373095145e+00,5.099019513592784492e+00,7.071067811865475505e+00,nan,nan,nan,nan,8.062257748298549132e+00,6.403124237432848531e+00,4.123105625617660586e+00,6.082762530298219339e+00,-1.350000000000000000e+02,1.350000000000000000e+02,1.130993247402022028e+01,8.130102354155985367e+00,nan,nan,nan,nan,2.974488129694222849e+01,3.865980825409008048e+01,1.040362434679264823e+02,9.946232220802562551e+01
1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,4.123105625617660586e+00,4.123105625617660586e+00,2.236067977499789805e+00,4.123105625617660586e+00,7.071067811865475505e+00,9.055385138137417300e+00,nan,8.062257748298549132e+00,5.656854249492380582e+00,4.472135954999579610e+00,5.656854249492380582e+00,7.211102550927978250e+00,-1.659637565320735177e+02,1.659637565320735177e+02,2.656505117707799357e+01,1.403624346792648403e+01,8.130102354155985367e+00,-6.340191745909922183e+00,nan,2.974488129694222849e+01,4.500000000000000000e+01,6.343494882292200998e+01,1.350000000000000000e+02,1.236900675259797566e+02
2.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,7.071067811865475505e+00,7.071067811865475505e+00,1.414213562373095145e+00,1.414213562373095145e+00,4.123105625617660586e+00,6.082762530298219339e+00,8.485281374238569541e+00,5.656854249492380582e+00,4.123105625617660586e+00,4.123105625617660586e+00,8.062257748298549132e+00,9.219544457292887074e+00,-1.718698976458440200e+02,1.718698976458440200e+02,1.350000000000000000e+02,4.500000000000000000e+01,1.403624346792648403e+01,-9.462322208025621961e+00,4.500000000000000000e+01,4.500000000000000000e+01,7.596375653207351775e+01,1.040362434679264823e+02,1.502551187030578035e+02,1.393987053549955135e+02
3.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.570796326794896558e+00,nan,nan,4.123105625617660586e+00,2.236067977499789805e+00,1.414213562373095145e+00,3.162277660168379523e+00,6.708203932499369415e+00,4.123105625617660586e+00,4.472135954999579610e+00,5.656854249492380582e+00,nan,nan,nan,nan,1.659637565320735177e+02,1.534349488229219958e+02,4.500000000000000000e+01,-1.843494882292200643e+01,6.343494882292200998e+01,7.596375653207351775e+01,1.165650511770779900e+02,1.350000000000000000e+02,nan,nan
4.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.570796326794896558e+00,2.500000000000000000e+00,0.000000000000000000e+00,nan,nan,7.071067811865475505e+00,5.099019513592784492e+00,2.236067977499789805e+00,1.000000000000000000e+00,6.000000000000000000e+00,4.472135954999579610e+00,6.403124237432848531e+00,8.062257748298549132e+00,nan,nan,nan,nan,8.186989764584401996e+01,7.869006752597979926e+01,6.343494882292200998e+01,-1.800000000000000000e+02,0.000000000000000000e+00,2.656505117707799357e+01,5.134019174590991952e+01,6.025511870305779638e+01,nan,nan
5.000000000000000000e+00,1.200000000000000000e+01,2.500000000000000000e+00,1.570796326794896558e+00,2.500000000000000000e+00,1.570796326794896558e+00,nan,nan,7.158910531638176700e+00,5.220153254455275338e+00,2.500000000000000000e+00,3.500000000000000000e+00,3.500000000000000000e+00,2.500000000000000000e+00,5.220153254455275338e+00,7.158910531638176700e+00,nan,nan,nan,nan,1.020947570770120905e+02,1.066992442339935963e+02,1.268698976458440200e+02,-1.800000000000000000e+02,0.000000000000000000e+00,5.313010235415598714e+01,7.330075576600638954e+01,7.790524292298790954e+01,nan,nan
6.000000000000000000e+00,1.200000000000000000e+01,5.000000000000000000e+00,-3.141592653589793116e+00,3.000000000000000000e+00,0.000000000000000000e+00,nan,nan,8.062257748298549132e+00,6.403124237432848531e+00,4.472135954999579610e+00,6.000000000000000000e+00,1.000000000000000000e+00,2.236067977499789805e+00,5.099019513592784492e+00,7.071067811865475505e+00,nan,nan,nan,nan,2.974488129694222849e+01,3.865980825409008048e+01,6.343494882292200998e+01,9.000000000000000000e+01,-9.000000000000000000e+01,2.656505117707799357e+01,1.130993247402019541e+01,8.130102354155985367e+00,nan,nan
7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,-3.141592653589793116e+00,3.000000000000000000e+00,0.000000000000000000e+00,nan,nan,5.656854249492380582e+00,4.472135954999579610e+00,4.123105625617660586e+00,6.708203932499369415e+00,3.162277660168379523e+00,1.414213562373095145e+00,2.236067977499789805e+00,4.123105625617660586e+00,nan,nan,nan,nan,4.500000000000000000e+01,6.343494882292200998e+01,1.040362434679264823e+02,1.165650511770779900e+02,-1.615650511770780042e+02,1.350000000000000000e+02,2.656505117707799357e+01,1.403624346792648403e+01,nan,nan
8.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,-3.141592653589793116e+00,3.000000000000000000e+00,0.000000000000000000e+00,9.219544457292887074e+00,8.062257748298549132e+00,4.123105625617660586e+00,4.123105625617660586e+00,5.656854249492380582e+00,8.485281374238569541e+00,6.082762530298219339e+00,4.123105625617660586e+00,1.414213562373095145e+00,1.414213562373095145e+00,7.071067811865475505e+00,7.071067811865475505e+00,4.060129464500445096e+01,2.974488129694222849e+01,7.596375653207351775e+01,1.040362434679264823e+02,1.350000000000000000e+02,1.350000000000000000e+02,-1.705376777919743745e+02,1.659637565320735177e+02,1.350000000000000000e+02,4.500000000000000000e+01,8.130102354155985367e+00,-8.130102354156035105e+00
9.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,-3.141592653589793116e+00,3.000000000000000000e+00,0.000000000000000000e+00,7.211102550927978250e+00,5.656854249492380582e+00,4.472135954999579610e+00,5.656854249492380582e+00,8.062257748298549132e+00,nan,9.055385138137417300e+00,7.071067811865475505e+00,4.123105625617660586e+00,2.236067977499789805e+00,4.123105625617660586e+00,4.123105625617660586e+00,5.630993247402024338e+01,4.500000000000000000e+01,1.165650511770779900e+02,1.350000000000000000e+02,1.502551187030578035e+02,nan,-1.736598082540900805e+02,1.718698976458440200e+02,1.659637565320735177e+02,1.534349488229219958e+02,1.403624346792648403e+01,-1.403624346792653377e+01
